question,answer
ما هو رمز المقرر لولاا?,32-1
كم عدد الساعات المعتمدة لمقرر 32-1 (لولاا)؟,1 ساعة
ما هو رمز المقرر يناثلا?,69-33
كم عدد الساعات المعتمدة لمقرر 69-33 (يناثلا)؟,2 ساعة
ما هو رمز المقرر ث لاثلا?,103-70
كم عدد الساعات المعتمدة لمقرر 103-70 (ث لاثلا)؟,3 ساعة
ما هو رمز المقرر عبارلا?,141-104
كم عدد الساعات المعتمدة لمقرر 141-104 (عبارلا)؟,4 ساعة
ما هو رمز المقرر %10?,%60
كم عدد الساعات المعتمدة لمقرر %60 (%10)؟,%20 ساعة
ما هو رمز المقرر -?,%75
كم عدد الساعات المعتمدة لمقرر %75 (-)؟,%25 ساعة
ما هو رمز المقرر ?,ةجرد100 ررقملل ةيلكلا ةجردلاو ،يساردلا ررقملل ناتعاس يئاهنلا ناحتملاا نمز نوكي
كم عدد الساعات المعتمدة لمقرر ةجرد100 ررقملل ةيلكلا ةجردلاو ،يساردلا ررقملل ناتعاس يئاهنلا ناحتملاا نمز نوكي ()؟, ساعة
